EVENT,BOUT,URL,EVENT_NUMBER,MAIN_FIGHTER_1,MAIN_FIGHTER_2
UFC 296: Edwards vs. Covington,Josh Emmett vs. Bryce Mitchell,http://ufcstats.com/fight-details/3b21a9f48bac4a44,296,Josh Emmett,Bryce Mitchell
UFC 296: Edwards vs. Covington,Alonzo Menifield vs. Dustin Jacoby,http://ufcstats.com/fight-details/521a0e016878d174,296,Alonzo Menifield,Dustin Jacoby
UFC 296: Edwards vs. Covington,Irene Aldana vs. Karol Rosa,http://ufcstats.com/fight-details/609d994bfe440ec3,296,Irene Aldana,Karol Rosa
UFC 296: Edwards vs. Covington,Cody Garbrandt vs. Brian Kelleher,http://ufcstats.com/fight-details/f8a8871d167fc929,296,Cody Garbrandt,Brian Kelleher
UFC 296: Edwards vs. Covington,Ariane Lipski vs. Casey O'Neill,http://ufcstats.com/fight-details/c442899c21d58779,296,Ariane Lipski,Casey O'Neill
UFC 296: Edwards vs. Covington,Tagir Ulanbekov vs. Cody Durden,http://ufcstats.com/fight-details/4ec249e549309b16,296,Tagir Ulanbekov,Cody Durden
UFC 296: Edwards vs. Covington,Andre Fili vs. Lucas Almeida,http://ufcstats.com/fight-details/abb6e2169ba580d2,296,Andre Fili,Lucas Almeida
UFC 296: Edwards vs. Covington,Shamil Gaziev vs. Martin Buday,http://ufcstats.com/fight-details/fce6522f42b48f18,296,Shamil Gaziev,Martin Buday
UFC Fight Night: Song vs. Gutierrez,Song Yadong vs. Chris Gutierrez,http://ufcstats.com/fight-details/f9ec8bedc15ece93,,Song Yadong,Chris Gutierrez
UFC Fight Night: Song vs. Gutierrez,Khalil Rountree Jr. vs. Anthony Smith,http://ufcstats.com/fight-details/91093a019d32af2e,,Khalil Rountree Jr.,Anthony Smith
UFC Fight Night: Song vs. Gutierrez,Nasrat Haqparast vs. Jamie Mullarkey,http://ufcstats.com/fight-details/acc57a9c114b694a,,Nasrat Haqparast,Jamie Mullarkey
UFC Fight Night: Song vs. Gutierrez,Tim Elliott vs. Sumudaerji,http://ufcstats.com/fight-details/fbedeb4e4b019b94,,Tim Elliott,Sumudaerji
UFC Fight Night: Song vs. Gutierrez,Andre Muniz vs. JunYong Park,http://ufcstats.com/fight-details/1afc4f372a125c74,,Andre Muniz,JunYong Park
UFC Fight Night: Song vs. Gutierrez,Kevin Jousset vs. Song Kenan,http://ufcstats.com/fight-details/3adab28c5c6a9254,,Kevin Jousset,Song Kenan
UFC Fight Night: Song vs. Gutierrez,HyunSung Park vs. Shannon Ross,http://ufcstats.com/fight-details/35addc4646509286,,HyunSung Park,Shannon Ross
UFC Fight Night: Song vs. Gutierrez,Steve Garcia vs. Melquizael Costa,http://ufcstats.com/fight-details/5ac1725f775c6f00,,Steve Garcia,Melquizael Costa
UFC Fight Night: Song vs. Gutierrez,Luana Santos vs. Stephanie Egger,http://ufcstats.com/fight-details/5a6e894e4b6cc703,,Luana Santos,Stephanie Egger
UFC Fight Night: Song vs. Gutierrez,Tatsuro Taira vs. Carlos Hernandez,http://ufcstats.com/fight-details/84f6de7c99779e5f,,Tatsuro Taira,Carlos Hernandez
UFC Fight Night: Song vs. Gutierrez,Talita Alencar vs. Rayanne Amanda,http://ufcstats.com/fight-details/acde7c89bd724af8,,Talita Alencar,Rayanne Amanda
UFC Fight Night: Dariush vs. Tsarukyan,Arman Tsarukyan vs. Beneil Dariush,http://ufcstats.com/fight-details/9feb9500b0fedfcd,,Arman Tsarukyan,Beneil Dariush
UFC Fight Night: Dariush vs. Tsarukyan,Jalin Turner vs. Bobby Green,http://ufcstats.com/fight-details/03eecf1926d9c77c,,Jalin Turner,Bobby Green
UFC Fight Night: Dariush vs. Tsarukyan,Deiveson Figueiredo vs. Rob Font,http://ufcstats.com/fight-details/246d06693b5ca1e8,,Deiveson Figueiredo,Rob Font
UFC Fight Night: Dariush vs. Tsarukyan,Sean Brady vs. Kelvin Gastelum,http://ufcstats.com/fight-details/39c4ae4624052f9f,,Sean Brady,Kelvin Gastelum
UFC Fight Night: Dariush vs. Tsarukyan,Joaquim Silva vs. Clay Guida,http://ufcstats.com/fight-details/20bfa549cb2cabe7,,Joaquim Silva,Clay Guida
UFC Fight Night: Dariush vs. Tsarukyan,Dustin Stoltzfus vs. Punahele Soriano,http://ufcstats.com/fight-details/02713b2d25f74d43,,Dustin Stoltzfus,Punahele Soriano
UFC Fight Night: Dariush vs. Tsarukyan,Miesha Tate vs. Julia Avila,http://ufcstats.com/fight-details/626c82ed45fdcf59,,Miesha Tate,Julia Avila
UFC Fight Night: Dariush vs. Tsarukyan,Cody Brundage vs. Zach Reese,http://ufcstats.com/fight-details/0320a6a967069571,,Cody Brundage,Zach Reese
