EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC on FOX: Maia vs. Condit ,Enrique Barzola  vs. Kyle Bochniak ,L/W,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Dave Hagen 28 - 29.David Therien 30 - 27.John Cooper 28 - 29.,http://ufcstats.com/fight-details/df33799f117000cb,Enrique Barzola,Kyle Bochniak,L,W,Dave Hagen,28 - 29,David Therien,30 - 27,John Cooper,28 - 29
UFC on FOX: Maia vs. Condit ,Garreth McLellan  vs. Alessio Di Chirico ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kevin Dornan,John Cooper 28 - 29.Tony Weeks 29 - 28.David Therien 28 - 29.,http://ufcstats.com/fight-details/f8df4cb5f22656c0,Garreth McLellan,Alessio Di Chirico,L,W,John Cooper,28 - 29,Tony Weeks,29 - 28,David Therien,28 - 29
UFC on FOX: Maia vs. Condit ,Shane Campbell  vs. Felipe Silva ,L/W,Lightweight Bout,KO/TKO ,1,1:13,3 Rnd (5-5-5),John McCarthy,Punch to Body At Distance ,http://ufcstats.com/fight-details/c64537874352793a,Shane Campbell,Felipe Silva,L,W,,,,,,
UFC on FOX: Maia vs. Condit ,Chad Laprise  vs. Thibault Gouti ,W/L,Lightweight Bout,KO/TKO ,1,1:36,3 Rnd (5-5-5),Kevin Dornan,Punch to Head At Distance ,http://ufcstats.com/fight-details/00742aea8da72a35,Chad Laprise,Thibault Gouti,W,L,,,,,,
UFC on FOX: Maia vs. Condit ,Jeremy Kennedy  vs. Alex Ricci ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,David Therien 27 - 30.Mitchell Cadlick 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/f7114bf73eec4022,Jeremy Kennedy,Alex Ricci,W,L,David Therien,27 - 30,Mitchell Cadlick,27 - 30,amato,28 - 29
UFC 202: Diaz vs. McGregor 2 ,Nate Diaz  vs. Conor McGregor ,L/W,Welterweight Bout,Decision - Majority ,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 47 - 48.Glenn Trowbridge 47 - 47.Jeff Mullen 47 - 48.,http://ufcstats.com/fight-details/648396cc751c730d,Nate Diaz,Conor McGregor,L,W,Derek Cleary,47 - 48,Glenn Trowbridge,47 - 47,Jeff Mullen,47 - 48
UFC 202: Diaz vs. McGregor 2 ,Anthony Johnson  vs. Glover Teixeira ,W/L,Light Heavyweight Bout,KO/TKO ,1,0:13,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/c0329bd8d3b302c6,Anthony Johnson,Glover Teixeira,W,L,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Rick Story  vs. Donald Cerrone ,L/W,Welterweight Bout,KO/TKO ,2,2:02,3 Rnd (5-5-5),Herb Dean,Kick to Head In Clinch ,http://ufcstats.com/fight-details/781f9a642e7a9278,Rick Story,Donald Cerrone,L,W,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Hyun Gyu Lim  vs. Mike Perry ,L/W,Welterweight Bout,KO/TKO ,1,3:38,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/70f08a4771138817,Hyun Gyu Lim,Mike Perry,L,W,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Tim Means  vs. Sabah Homasi ,W/L,Welterweight Bout,KO/TKO ,2,2:56,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch ,http://ufcstats.com/fight-details/a69a6da9560ed62c,Tim Means,Sabah Homasi,W,L,,,,,,
