EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC 247: Jones vs. Reyes ,Andre Ewell  vs. Jonathan Martinez ,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Danny De Alejandro 28 - 29.Joe Soliz 27 - 30.Joshua Ferraro 29 - 28.,http://ufcstats.com/fight-details/326b843cb2b7fd94,Andre Ewell,Jonathan Martinez,W,L,Danny De Alejandro,28 - 29,Joe Soliz,27 - 30,Joshua Ferraro,29 - 28
UFC 247: Jones vs. Reyes ,Austin Lingo  vs. Youssef Zalal ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jeff Rexroad,Robin Williams 27 - 30.Robert Alexander 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/a6441acec6718f03,Austin Lingo,Youssef Zalal,L,W,Robin Williams,27 - 30,Robert Alexander,27 - 30,Chris Lee,27 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Curtis Blaydes  vs. Junior Dos Santos ,W/L,Heavyweight Bout,KO/TKO ,2,1:06,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head At Distance ,http://ufcstats.com/fight-details/037d2f426c916ffc,Curtis Blaydes,Junior Dos Santos,W,L,,,,,,
UFC Fight Night: Blaydes vs. Dos Santos ,Rafael Dos Anjos  vs. Michael Chiesa ,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Tony Weeks 27 - 30.Chris Lee 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/2ef54419defb2364,Rafael Dos Anjos,Michael Chiesa,L,W,Tony Weeks,27 - 30,Chris Lee,28 - 29,Eric Colon,28 - 29
UFC Fight Night: Blaydes vs. Dos Santos ,Jordan Espinosa  vs. Alex Perez ,L/W,Flyweight Bout,Submission ,1,2:33,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/7dcd5d8a44a284e5,Jordan Espinosa,Alex Perez,L,W,,,,,,
UFC Fight Night: Blaydes vs. Dos Santos ,Hannah Cifers  vs. Angela Hill ,L/W,Women's Strawweight Bout,KO/TKO ,2,4:26,3 Rnd (5-5-5),Kevin MacDonald,Elbows to Head From Mount ,http://ufcstats.com/fight-details/b88b170a7fe40544,Hannah Cifers,Angela Hill,L,W,,,,,,
UFC Fight Night: Blaydes vs. Dos Santos ,Jamahal Hill  vs. Darko Stosic ,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Chris Lee 28 - 29.Tiffany Sorber 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/6195d3e7c412c8a2,Jamahal Hill,Darko Stosic,W,L,Chris Lee,28 - 29,Tiffany Sorber,28 - 29,Tony Weeks,28 - 29
UFC Fight Night: Blaydes vs. Dos Santos ,Bevon Lewis  vs. Dequan Townsend ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Eric Colon 27 - 30.Sal D'amato 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/3fd3b871e83434c5,Bevon Lewis,Dequan Townsend,W,L,Eric Colon,27 - 30,amato,27 - 30,Tony Weeks,27 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Arnold Allen  vs. Nik Lentz ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Wayne Spinola,Derek Cleary 28 - 29.Tiffany Sorber 28 - 29.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/ed94cdc0f2b97e15,Arnold Allen,Nik Lentz,W,L,Derek Cleary,28 - 29,Tiffany Sorber,28 - 29,Chris Lee,27 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Justine Kish  vs. Lucie Pudilova ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Eric Colon 27 - 30.David Ebert 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/151c2bd6dfefb4b5,Justine Kish,Lucie Pudilova,W,L,Eric Colon,27 - 30,David Ebert,27 - 30,Tony Weeks,27 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Montel Jackson  vs. Felipe Colares ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 26 - 30.Tiffany Sorber 26 - 30.Sal D'amato 25 - 30.,http://ufcstats.com/fight-details/737e2781e4a7db5c,Montel Jackson,Felipe Colares,W,L,Derek Cleary,26 - 30,Tiffany Sorber,26 - 30,amato,25 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Sara McMann  vs. Lina Lansberg ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Larry Carter,David Ebert 27 - 30.Chris Lee 26 - 30.Eric Colon 25 - 30.,http://ufcstats.com/fight-details/79161bde28636128,Sara McMann,Lina Lansberg,W,L,David Ebert,27 - 30,Chris Lee,26 - 30,Eric Colon,25 - 30
UFC Fight Night: Blaydes vs. Dos Santos ,Brett Johns  vs. Tony Gravely ,W/L,Bantamweight Bout,Submission ,3,2:53,3 Rnd (5-5-5),Wayne Spinola,Rear Naked Choke ,http://ufcstats.com/fight-details/918c2efc59c1952e,Brett Johns,Tony Gravely,W,L,,,,,,
UFC Fight Night: Blaydes vs. Dos Santos ,Herbert Burns  vs. Nate Landwehr ,W/L,Featherweight Bout,KO/TKO ,1,2:43,3 Rnd (5-5-5),Larry Carter,Knee to Head In Clinch ,http://ufcstats.com/fight-details/901dbd1e6463c4ba,Herbert Burns,Nate Landwehr,W,L,,,,,,
UFC 246: McGregor vs. Cowboy ,Conor McGregor  vs. Donald Cerrone ,W/L,Welterweight Bout,KO/TKO ,1,0:40,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/eed6c9aff2234b7a,Conor McGregor,Donald Cerrone,W,L,,,,,,
UFC 246: McGregor vs. Cowboy ,Holly Holm  vs. Raquel Pennington ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Eric Colon 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/36032308b7e86fd0,Holly Holm,Raquel Pennington,W,L,Mike Bell,28 - 29,Eric Colon,27 - 30,Ron McCarthy,27 - 30
UFC 246: McGregor vs. Cowboy ,Aleksei Oleinik  vs. Maurice Greene ,W/L,Heavyweight Bout,Submission ,2,4:38,3 Rnd (5-5-5),Keith Peterson,Armbar From Mount ,http://ufcstats.com/fight-details/702759500d47a059,Aleksei Oleinik,Maurice Greene,W,L,,,,,,
UFC 246: McGregor vs. Cowboy ,Brian Kelleher  vs. Ode Osbourne ,W/L,Bantamweight Bout,Submission ,1,2:49,3 Rnd (5-5-5),Mark Smith,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/4eff0432bd364a23,Brian Kelleher,Ode Osbourne,W,L,,,,,,
UFC 246: McGregor vs. Cowboy ,Anthony Pettis  vs. Diego Ferreira ,L/W,Lightweight Bout,Submission ,2,1:46,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/32a8f38bd1d46e3e,Anthony Pettis,Diego Ferreira,L,W,,,,,,
UFC 246: McGregor vs. Cowboy ,Roxanne Modafferi  vs. Maycee Barber ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 27 - 30.Sal D'amato 27 - 30.Dave Hagen 26 - 30.,http://ufcstats.com/fight-details/760b5b16b4931a77,Roxanne Modafferi,Maycee Barber,W,L,Eric Colon,27 - 30,amato,27 - 30,Dave Hagen,26 - 30
UFC 246: McGregor vs. Cowboy ,Andre Fili  vs. Sodiq Yusuff ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee 28 - 29.Derek Cleary 28 - 29.Adalaide Byrd 28 - 29.,http://ufcstats.com/fight-details/5868c154789648f0,Andre Fili,Sodiq Yusuff,L,W,Chris Lee,28 - 29,Derek Cleary,28 - 29,Adalaide Byrd,28 - 29
UFC 246: McGregor vs. Cowboy ,Tim Elliott  vs. Askar Askarov ,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29.Sal D'amato 27 - 30.Dave Hagen 27 - 30.,http://ufcstats.com/fight-details/ff467a5f06a91a0f,Tim Elliott,Askar Askarov,L,W,Mike Bell,28 - 29,amato,27 - 30,Dave Hagen,27 - 30
UFC 246: McGregor vs. Cowboy ,Drew Dober  vs. Nasrat Haqparast ,W/L,Lightweight Bout,KO/TKO ,1,1:10,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/63dd38f0dcc2ee88,Drew Dober,Nasrat Haqparast,W,L,,,,,,
UFC 246: McGregor vs. Cowboy ,Aleksa Camur  vs. Justin Ledet ,W/L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 28 - 29.Ron McCarthy 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/6087c50c5f95a677,Aleksa Camur,Justin Ledet,W,L,Derek Cleary,28 - 29,Ron McCarthy,27 - 30,Tony Weeks,27 - 30
UFC 246: McGregor vs. Cowboy ,Sabina Mazo  vs. JJ Aldrich ,W/L,Women's Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29.Chris Lee 29 - 28.Adalaide Byrd 28 - 29.,http://ufcstats.com/fight-details/96fe84d051847591,Sabina Mazo,JJ Aldrich,W,L,Junichiro Kamijo,28 - 29,Chris Lee,29 - 28,Adalaide Byrd,28 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Frankie Edgar  vs. Chan Sung Jung ,L/W,Featherweight Bout,KO/TKO ,1,3:18,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/06f37329b223b451,Frankie Edgar,Chan Sung Jung,L,W,,,,,,
UFC Fight Night: Edgar vs. The Korean Zombie ,Volkan Oezdemir  vs. Aleksandar Rakic ,W/L,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Mark Collett 28 - 29.Evan Field 29 - 28.Anthony Dimitriou 28 - 29.,http://ufcstats.com/fight-details/2b8cae68963a40a9,Volkan Oezdemir,Aleksandar Rakic,W,L,Mark Collett,28 - 29,Evan Field,29 - 28,Anthony Dimitriou,28 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Dooho Choi  vs. Charles Jourdain ,L/W,Featherweight Bout,KO/TKO ,2,4:32,3 Rnd (5-5-5),Peter Hickmott,Punches to Head At Distance ,http://ufcstats.com/fight-details/997ab1ea9fab5643,Dooho Choi,Charles Jourdain,L,W,,,,,,
UFC Fight Night: Edgar vs. The Korean Zombie ,Da-Un Jung  vs. Mike Rodriguez ,W/L,Light Heavyweight Bout,KO/TKO ,1,1:04,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/47e49e04e32be7e9,Da-Un Jung,Mike Rodriguez,W,L,,,,,,
UFC Fight Night: Edgar vs. The Korean Zombie ,Junyong Park  vs. Marc-Andre Barriault ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Thomas Fan,Evan Field 27 - 30.Anthony Dimitriou 28 - 29.Mark Collett 28 - 29.,http://ufcstats.com/fight-details/b3bd27affa038e9c,Junyong Park,Marc-Andre Barriault,W,L,Evan Field,27 - 30,Anthony Dimitriou,28 - 29,Mark Collett,28 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Kyung Ho Kang  vs. Pingyuan Liu ,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Peter Hickmott,Ben Cartlidge 28 - 29.Evan Field 29 - 28.Paul Sutherland 27 - 30.,http://ufcstats.com/fight-details/f93f794247af708a,Kyung Ho Kang,Pingyuan Liu,W,L,Ben Cartlidge,28 - 29,Evan Field,29 - 28,Paul Sutherland,27 - 30
UFC Fight Night: Edgar vs. The Korean Zombie ,Ciryl Gane  vs. Tanner Boser ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mark Collett 26 - 30.Anthony Dimitriou 26 - 30.Evan Field 26 - 30.,http://ufcstats.com/fight-details/3637e661b6854b49,Ciryl Gane,Tanner Boser,W,L,Mark Collett,26 - 30,Anthony Dimitriou,26 - 30,Evan Field,26 - 30
UFC Fight Night: Edgar vs. The Korean Zombie ,SeungWoo Choi  vs. Suman Mokhtarian ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Ben Cartlidge 26 - 29.Evan Field 26 - 29.Paul Sutherland 25 - 29.,http://ufcstats.com/fight-details/6ea23c2c30f85a89,SeungWoo Choi,Suman Mokhtarian,W,L,Ben Cartlidge,26 - 29,Evan Field,26 - 29,Paul Sutherland,25 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Dong Hyun Ma  vs. Omar Morales ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Thomas Fan,Anthony Dimitriou 26 - 30.Mark Collett 27 - 30.Paul Sutherland 28 - 29.,http://ufcstats.com/fight-details/9140e6fdeaa7cd3f,Dong Hyun Ma,Omar Morales,L,W,Anthony Dimitriou,26 - 30,Mark Collett,27 - 30,Paul Sutherland,28 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Alexandre Pantoja  vs. Matt Schnell ,W/L,Flyweight Bout,KO/TKO ,1,4:17,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/5a5a65d8df176506,Alexandre Pantoja,Matt Schnell,W,L,,,,,,
UFC Fight Night: Edgar vs. The Korean Zombie ,Raoni Barcelos  vs. Said Nurmagomedov ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Peter Hickmott,Paul Sutherland 27 - 30.Evan Field 28 - 29.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/75523d31940c9344,Raoni Barcelos,Said Nurmagomedov,W,L,Paul Sutherland,27 - 30,Evan Field,28 - 29,Ben Cartlidge,28 - 29
UFC Fight Night: Edgar vs. The Korean Zombie ,Miranda Granger  vs. Amanda Lemos ,L/W,Women's Strawweight Bout,Submission ,1,3:43,3 Rnd (5-5-5),Greg Kleynjans,Rear Naked Choke ,http://ufcstats.com/fight-details/60e1b3ac3182f5b3,Miranda Granger,Amanda Lemos,L,W,,,,,,
UFC Fight Night: Edgar vs. The Korean Zombie , Alatengheili  vs. Ryan Benoit ,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Thomas Fan,Ben Cartlidge 28 - 29.Evan Field 29 - 28.Anthony Dimitriou 28 - 29.,http://ufcstats.com/fight-details/15aa55a91cf848cf,Alatengheili,Ryan Benoit,W,L,Ben Cartlidge,28 - 29,Evan Field,29 - 28,Anthony Dimitriou,28 - 29
UFC 245: Usman vs. Covington ,Kamaru Usman  vs. Colby Covington ,W/L,UFC Welterweight Title Bout,KO/TKO ,5,4:10,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/82177c0f91d9618a,Kamaru Usman,Colby Covington,W,L,,,,,,
UFC 245: Usman vs. Covington ,Max Holloway  vs. Alexander Volkanovski ,L/W,UFC Featherweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Mike Bell 47 - 48.Chris Lee 47 - 48.Junichiro Kamijo 45 - 50.,http://ufcstats.com/fight-details/efc40ec41114d8fa,Max Holloway,Alexander Volkanovski,L,W,Mike Bell,47 - 48,Chris Lee,47 - 48,Junichiro Kamijo,45 - 50
UFC 245: Usman vs. Covington ,Amanda Nunes  vs. Germaine de Randamie ,W/L,UFC Women's Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Sal D'amato 44 - 49.Dave Hagen 46 - 49.Ron McCarthy 45 - 49.,http://ufcstats.com/fight-details/36fcfd186a8d6df7,Amanda Nunes,Germaine de Randamie,W,L,amato,44 - 49,Dave Hagen,46 - 49,Ron McCarthy,45 - 49
UFC 245: Usman vs. Covington ,Marlon Moraes  vs. Jose Aldo ,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mark Smith 28 - 29.Eric Colon 28 - 29.Mike Bell 29 - 28.,http://ufcstats.com/fight-details/b5ec939fd1edf048,Marlon Moraes,Jose Aldo,W,L,Mark Smith,28 - 29,Eric Colon,28 - 29,Mike Bell,29 - 28
UFC 245: Usman vs. Covington ,Petr Yan  vs. Urijah Faber ,W/L,Bantamweight Bout,KO/TKO ,3,0:43,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance ,http://ufcstats.com/fight-details/a0c82ba11a373008,Petr Yan,Urijah Faber,W,L,,,,,,
UFC 245: Usman vs. Covington ,Geoff Neal  vs. Mike Perry ,W/L,Welterweight Bout,KO/TKO ,1,1:30,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance ,http://ufcstats.com/fight-details/ad5ef8d8678ff97f,Geoff Neal,Mike Perry,W,L,,,,,,
UFC 245: Usman vs. Covington ,Ketlen Vieira  vs. Irene Aldana ,L/W,Women's Bantamweight Bout,KO/TKO ,1,4:51,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/c4eaeec8ac778b27,Ketlen Vieira,Irene Aldana,L,W,,,,,,
UFC 245: Usman vs. Covington ,Ian Heinisch  vs. Omari Akhmedov ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 28 - 29.Sal D'amato 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/dd88960598219eba,Ian Heinisch,Omari Akhmedov,L,W,Mike Bell,28 - 29,amato,28 - 29,Ron McCarthy,28 - 29
UFC 245: Usman vs. Covington ,Matt Brown  vs. Ben Saunders ,W/L,Welterweight Bout,KO/TKO ,2,4:55,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Guard ,http://ufcstats.com/fight-details/98dd88d83f57c17a,Matt Brown,Ben Saunders,W,L,,,,,,
UFC 245: Usman vs. Covington ,Chase Hooper  vs. Daniel Teymur ,W/L,Featherweight Bout,KO/TKO ,1,4:34,3 Rnd (5-5-5),Jason Herzog,Elbows to Head From Mount ,http://ufcstats.com/fight-details/d42410f6f1039ab5,Chase Hooper,Daniel Teymur,W,L,,,,,,
UFC 245: Usman vs. Covington ,Brandon Moreno  vs. Kai Kara-France ,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29.Chris Lee 28 - 29.Mark Smith 27 - 30.,http://ufcstats.com/fight-details/1881b1e85cceee13,Brandon Moreno,Kai Kara-France,W,L,Junichiro Kamijo,28 - 29,Chris Lee,28 - 29,Mark Smith,27 - 30
UFC 245: Usman vs. Covington ,Jessica Eye  vs. Viviane Araujo ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 28 - 29.Derek Cleary 28 - 29.Dave Hagen 28 - 29.,http://ufcstats.com/fight-details/35d0ef51fede263c,Jessica Eye,Viviane Araujo,W,L,Mike Bell,28 - 29,Derek Cleary,28 - 29,Dave Hagen,28 - 29
UFC 245: Usman vs. Covington ,Punahele Soriano  vs. Oskar Piechota ,W/L,Middleweight Bout,KO/TKO ,1,3:17,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance ,http://ufcstats.com/fight-details/30523303e8d85c25,Punahele Soriano,Oskar Piechota,W,L,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Alistair Overeem  vs. Jairzinho Rozenstruik ,L/W,Heavyweight Bout,KO/TKO ,5,4:56,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/e91f289f1b9f9519,Alistair Overeem,Jairzinho Rozenstruik,L,W,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Marina Rodriguez  vs. Cynthia Calvillo ,D/D,Women's Strawweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,Chris Lee 28 - 29.David Braslow 28 - 28.Sal D'amato 28 - 28.,http://ufcstats.com/fight-details/3b8cac9910af1c61,Marina Rodriguez,Cynthia Calvillo,D,D,Chris Lee,28 - 29,David Braslow,28 - 28,amato,28 - 28
UFC Fight Night: Overeem vs. Rozenstruik ,Stefan Struve  vs. Ben Rothwell ,L/W,Heavyweight Bout,KO/TKO ,2,4:57,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head In Clinch ,http://ufcstats.com/fight-details/bbc8e8a69e9bd106,Stefan Struve,Ben Rothwell,L,W,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Aspen Ladd  vs. Yana Kunitskaya ,W/L,Women's Bantamweight Bout,KO/TKO ,3,0:33,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control ,http://ufcstats.com/fight-details/b5365d22172e414b,Aspen Ladd,Yana Kunitskaya,W,L,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Cody Stamann  vs. Song Yadong ,D/D,Bantamweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,Sal D'amato 27 - 29.Steve Rados 28 - 28.David Braslow 28 - 28.,http://ufcstats.com/fight-details/b87863a2de433824,Cody Stamann,Song Yadong,D,D,amato,27 - 29,Steve Rados,28 - 28,David Braslow,28 - 28
UFC Fight Night: Overeem vs. Rozenstruik ,Rob Font  vs. Ricky Simon ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,Sal D'amato 28 - 29.Brent Colflesh 28 - 29.David Braslow 27 - 30.,http://ufcstats.com/fight-details/b9ff9ebe19ae6358,Rob Font,Ricky Simon,W,L,amato,28 - 29,Brent Colflesh,28 - 29,David Braslow,27 - 30
UFC Fight Night: Overeem vs. Rozenstruik ,Thiago Alves  vs. Tim Means ,L/W,Welterweight Bout,Submission ,1,2:38,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/57d04160f5438654,Thiago Alves,Tim Means,L,W,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Billy Quarantillo  vs. Jacob Kilburn ,W/L,Featherweight Bout,Submission ,2,3:18,3 Rnd (5-5-5),Kevin Mulhall,Triangle Choke On Ground ,http://ufcstats.com/fight-details/d9501c6985c1b38d,Billy Quarantillo,Jacob Kilburn,W,L,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Bryce Mitchell  vs. Matt Sayles ,W/L,Featherweight Bout,Submission ,1,4:20,3 Rnd (5-5-5),Dan Miragliotta,Twister From Back Control ,http://ufcstats.com/fight-details/fa3f04be9344804b,Bryce Mitchell,Matt Sayles,W,L,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Joe Solecki  vs. Matt Wiman ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,David Braslow 26 - 30.Sal D'amato 26 - 30.Steve Rados 27 - 30.,http://ufcstats.com/fight-details/a3f89ad71e1caa81,Joe Solecki,Matt Wiman,W,L,David Braslow,26 - 30,amato,26 - 30,Steve Rados,27 - 30
UFC Fight Night: Overeem vs. Rozenstruik ,Virna Jandiroba  vs. Mallory Martin ,W/L,Women's Strawweight Bout,Submission ,2,1:16,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke ,http://ufcstats.com/fight-details/652a956adab8ad0e,Virna Jandiroba,Mallory Martin,W,L,,,,,,
UFC Fight Night: Overeem vs. Rozenstruik ,Makhmud Muradov  vs. Trevor Smith ,W/L,Middleweight Bout,KO/TKO ,3,4:09,3 Rnd (5-5-5),Kevin Mulhall,Punch to Head At Distance ,http://ufcstats.com/fight-details/81af3b60203d92df,Makhmud Muradov,Trevor Smith,W,L,,,,,,
UFC Fight Night: Blachowicz vs. Jacare ,Jan Blachowicz  vs. Jacare Souza ,W/L,Light Heavyweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Kevin MacDonald,Chris Lee 47 - 48.Hallison Pontes 48 - 47.Sal D'amato 47 - 48.,http://ufcstats.com/fight-details/c04274c8caa505dd,Jan Blachowicz,Jacare Souza,W,L,Chris Lee,47 - 48,Hallison Pontes,48 - 47,amato,47 - 48
UFC Fight Night: Blachowicz vs. Jacare ,Mauricio Rua  vs. Paul Craig ,D/D,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29.Marcelo Vilhena 29 - 28.Guilherme Bravo 28 - 28.,http://ufcstats.com/fight-details/c63edd25d2201a46,Mauricio Rua,Paul Craig,D,D,amato,28 - 29,Marcelo Vilhena,29 - 28,Guilherme Bravo,28 - 28
UFC Fight Night: Blachowicz vs. Jacare ,Charles Oliveira  vs. Jared Gordon ,W/L,Lightweight Bout,KO/TKO ,1,1:26,3 Rnd (5-5-5),Osiris Maia,Punch to Head At Distance ,http://ufcstats.com/fight-details/7afe2a15ae7359e9,Charles Oliveira,Jared Gordon,W,L,,,,,,
UFC Fight Night: Blachowicz vs. Jacare ,Antonio Arroyo  vs. Andre Muniz ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,Sal D'amato 27 - 30.Marcelo Vilhena 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/57b111b54a2d2323,Antonio Arroyo,Andre Muniz,L,W,amato,27 - 30,Marcelo Vilhena,27 - 30,Chris Lee,27 - 30
UFC Fight Night: Blachowicz vs. Jacare ,Markus Perez  vs. Wellington Turman ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Chris Lee 27 - 30.Marcelo Vilhena 27 - 30.Guilherme Bravo 27 - 30.,http://ufcstats.com/fight-details/9e1ecdb9a8856a8c,Markus Perez,Wellington Turman,L,W,Chris Lee,27 - 30,Marcelo Vilhena,27 - 30,Guilherme Bravo,27 - 30
UFC Fight Night: Blachowicz vs. Jacare ,Sergio Moraes  vs. James Krause ,L/W,Welterweight Bout,KO/TKO ,3,4:19,3 Rnd (5-5-5),Fernando Portella,Punch to Head At Distance ,http://ufcstats.com/fight-details/aa232e53d285cc6d,Sergio Moraes,James Krause,L,W,,,,,,
UFC Fight Night: Blachowicz vs. Jacare ,Ricardo Ramos  vs. Eduardo Garagorri ,W/L,Featherweight Bout,Submission ,1,3:57,3 Rnd (5-5-5),Camila Albuquerque,Rear Naked Choke ,http://ufcstats.com/fight-details/094790e50afae55e,Ricardo Ramos,Eduardo Garagorri,W,L,,,,,,
