FIRST,LAST,NICKNAME,URL
Bruno,Assis,Brunao,http://ufcstats.com/fighter-details/ff222167cce02919
Junior,Assuncao,,http://ufcstats.com/fighter-details/d0d7160824278840
Raphael,Assuncao,,http://ufcstats.com/fighter-details/2f13e4020cea5b38
Michael,Aswell Jr.,The Texas Kid,http://ufcstats.com/fighter-details/01c9e4013afce141
Bazigit,Atajev,Volk,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
Rich,Attonito,The Raging Bull,http://ufcstats.com/fighter-details/210935fd21670f6d
Olivier,Aubin-Mercier,The Canadian Gangster,http://ufcstats.com/fighter-details/55ee431411ccf07a
Pat,Audinwood,Awesomely Awesome,http://ufcstats.com/fighter-details/196ed28337adc630
Jose,Augusto,Gugu,http://ufcstats.com/fighter-details/4d3b08ab127c7585
Marcus,Aurelio,Maximus,http://ufcstats.com/fighter-details/04643fd03d9159cc
David,Avellan,,http://ufcstats.com/fighter-details/956dcac65e7b34d6
Blas,Avena,The Disciple,http://ufcstats.com/fighter-details/8753e125f4499816
Levi,Avera,,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Anthony,Avila,,http://ufcstats.com/fighter-details/033d19259f589457
Chris,Avila,,http://ufcstats.com/fighter-details/4665cbf36b08193b
Julia,Avila,Raging Panda,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
Saad,Awad,Assassin,http://ufcstats.com/fighter-details/da603332ad41f165
Javy,Ayala,Eye Candy,http://ufcstats.com/fighter-details/26387c19f32dda0f
Jessin,Ayari,,http://ufcstats.com/fighter-details/6eaec40f724852f4
Abu,Azaitar,Captain Morocco,http://ufcstats.com/fighter-details/46d0a888d87d91ac
Ottman,Azaitar,Bulldozer,http://ufcstats.com/fighter-details/ee18ff42063174df
Luiz,Azeredo,,http://ufcstats.com/fighter-details/063649e21bc9d6d5
Luciano,Azevedo,,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
Hunter,Azure,,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
Niklas,Backstrom,,http://ufcstats.com/fighter-details/39cc64bf0a269db9
Seth,Baczynski,The Polish Pistola,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
Abdul Azeem,Badakhshi,The Afghan Lion,http://ufcstats.com/fighter-details/968764372c49eab6
Ryan,Bader,Darth,http://ufcstats.com/fighter-details/c0ab242c40decc55
Izabela,Badurek,,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Miguel,Baeza,Caramel Thunder,http://ufcstats.com/fighter-details/82d4c957649faf9b
Ali,Bagautinov,Puncher,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
Mehdi,Baghdad,The Sultan,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
Melsik,Baghdasaryan,The Gun,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6
Siyar,Bahadurzada,The Great,http://ufcstats.com/fighter-details/aec185309b4843d0
Ignacio,Bahamondes,La Jaula,http://ufcstats.com/fighter-details/e4a47b07044ddd72
Bahatebole,Batebolati,Lion King,http://ufcstats.com/fighter-details/8f313e9c3a39c06e
Shamar,Bailey,,http://ufcstats.com/fighter-details/e2b8186b618b00c4
Jordan,Bailey,,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
Scott,Baker,,http://ufcstats.com/fighter-details/7d5b12de1625984e
Bryan,Baker,The Beast,http://ufcstats.com/fighter-details/898337ef520fe4d3
Jin,Bala,,http://ufcstats.com/fighter-details/371efa53bd0cf669
,Balajin,The Snow Leopard,http://ufcstats.com/fighter-details/e626e92a8f2a9737
Oluwale,Bamgbose,Holy War Angel,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c
Stephen,Banaszak,,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
Marcin,Bandel,Bomba,http://ufcstats.com/fighter-details/5c2ce761399dc9c5
Humberto,Bandenay,,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
Tae Hyun,Bang,Supernatural,http://ufcstats.com/fighter-details/9a2d3567abc02e34
Yohan,Banks,,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
Shauna,Bannon,Mama B,http://ufcstats.com/fighter-details/9c442aaf149ea982
Antonio,Banuelos,,http://ufcstats.com/fighter-details/9ddfb3369a3b0394
Iwo,Baraniewski,Rudy,http://ufcstats.com/fighter-details/1c23ec2f1b71be40
Renan,Barao,The Baron,http://ufcstats.com/fighter-details/2c99576fefe53c7c
Junior,Barata,,http://ufcstats.com/fighter-details/06dced58ca24a6bd
Maycee,Barber,The Future,http://ufcstats.com/fighter-details/6a740daf1b279661
Bryan,Barberena,Bam Bam,http://ufcstats.com/fighter-details/a331233f597090a5
Djani,Barbir,,http://ufcstats.com/fighter-details/d4baaa0630bf5798
Dione,Barbosa,The Witch,http://ufcstats.com/fighter-details/27b388f0aab49780
Marcio,Barbosa,Ticoto,http://ufcstats.com/fighter-details/c85bad793cd14e28
Edson,Barboza,Junior,http://ufcstats.com/fighter-details/64a50dad704d1d49
Raoni,Barcelos,,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Daniel,Barez,,http://ufcstats.com/fighter-details/e8fe9c15d348e778
Danny,Barlow,LeftHand2God,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
Luke,Barnatt,The Bigslow,http://ufcstats.com/fighter-details/172c2135e70f87b7
James,Barnes,Mooka,http://ufcstats.com/fighter-details/c06a5c95f1169c0b
Nick,Barnes,,http://ufcstats.com/fighter-details/78a5eea49638685d
Shonte,Barnes,Shyne,http://ufcstats.com/fighter-details/e575b6ff678c1aca
Josh,Barnett,The Warmaster,http://ufcstats.com/fighter-details/ad3f53c454cbbead
Chris,Barnett,Beastboy,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
Chris,Barnhizer,,http://ufcstats.com/fighter-details/91e69a1c3c87325b
David,Baron,,http://ufcstats.com/fighter-details/80c0bed43da0e27b
Phil,Baroni,The New York Bad Ass,http://ufcstats.com/fighter-details/1652f3213655b935
Dan,Barrera,The Fireman,http://ufcstats.com/fighter-details/f12f979b657ab876
Carlos,Barreto,,http://ufcstats.com/fighter-details/a220be6d41d6f97d
Jose,Barreto,,http://ufcstats.com/fighter-details/c32eab6c2119e989
Peter,Barrett,Slippery,http://ufcstats.com/fighter-details/d21113c9ff3788ae
Marc-Andre,Barriault,Powerbar,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
David,Barrios,,http://ufcstats.com/fighter-details/e6015889f50075d2
Alexandre,Barros,Baixinho,http://ufcstats.com/fighter-details/8fd1f27e86661ede
Ricardo,Barros,,http://ufcstats.com/fighter-details/d26394fc0e8e880a
Francimar,Barroso,Bodao,http://ufcstats.com/fighter-details/b69f24c500d783e7
Pat,Barry,HD,http://ufcstats.com/fighter-details/658c3465581ae46b
Dean,Barry,The Sniper,http://ufcstats.com/fighter-details/a6f3d15cb84334bb
Enrique,Barzola,El Fuerte,http://ufcstats.com/fighter-details/be0b310a12eb80b4
Javid,Basharat,The Snow Leopard,http://ufcstats.com/fighter-details/bbab3baf66128ae2
Farid,Basharat,Ferocious,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Austin,Bashi,,http://ufcstats.com/fighter-details/d3f89fa685bd8420
Stephen,Bass,Bigfish,http://ufcstats.com/fighter-details/1cecc8fe6748a532
Sean,Bassett,,http://ufcstats.com/fighter-details/2c733e059462c1dc
Ryan,Bastianelli,Relentless,http://ufcstats.com/fighter-details/29508aff4d93cbbe
Shayna,Baszler,The Queen of Spades,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
