fighterId,espnId
140745cbbcb023ac,2335514
1411c630ba711b64,2354252
147e70aa6cc48cfc,4815999
1497e735d9f2560a,4875506
150ff4cc642270b9,2614933
1536a25e16fc299b,3995914
155bfc7ed36622df,2488461
1562b12763cc8d67,2502141
15b1b21cd743d652,2504626
15df64c02b6b0fde,2556806
15ec018d144710db,2501989
15edcf67ccf5be84,2502591
16a64f93f6678b7b,3112785
16af2d5a6f28bee2,2499933
173acb3f920082b8,2611954
1788eee370f077b7,2556638
179f1948dc234f1f,2335647
182f2b78582de3d8,2957076
184b955181bdef52,2488532
18aecaf50f52e4c3,2501334
192520689012c7e4,4403535
193b9d1858bc4df3,3109135
196ed28337adc630,2507860
1975c2272ba40e71,2557322
1999ffb5cebc314f,3123194
19a8cce18a1cef9e,2557569
19b7738321cfae42,4141265
19c591115a58982c,4877915
19ffeb5e3fffd6d5,2499919
1a08b01fdabb6ae2,3112000
1a1a4d7a29041d77,2431281
1a225f04aa6e0739,2335705
1a31ef98efce7a79,3020090
1a49e0670dfaca31,2951337
1a54231796e24a3f,4570597
1ae8f3c723aacff4,3571515
1c061eb6e29eaa0a,2558109
1c2f2571b18791b6,2488864
1c3f5e85b59ec710,2499775
1ccf4e7caff270df,2335497
1cecc8fe6748a532,2611952
1cf7ccf64a5bf24e,4084364
1d00756835ca67c9,2479918
1d239d571e342453,2552777
1d36f1ac66cf689d,2555491
1d4bbaabd8b60173,2503059
1dab0d1d81dd06db,2499917
1de9ad94de18eeaf,4065618
1e1dbd1cc5a7469e,2611102
1e327b281ef6a745,2560800
1e35aa8955794580,2560738
1e4f273069fb9e85,4083018
1e7483dbff40b84b,3096580
1ea8df62b3f8fea6,2354342
1ebe20ebbfa15e29,4350762
1effd880e1f1bb30,4686270
1f454354805b6f75,2335447
1f77fce698e80488,2504647
1fcfc3709fe58151,2502609
1fd4fbdcc67de844,2335474
1ffc38f67785797b,2558112
203c957eac95dd87,2500684
207773daeb4afa7b,4354425
20999e27ddd94bda,2992191
20bd6c3e03c46ee6,2558136
20ec0061400178ca,2499539
210935fd21670f6d,2504641
21321cdfba797c52,2354055
2153a7f8396a46cc,3083005
21b1132949f2a9b0,2492783
21b8a0f5c231096f,2335515
2244d9a2b64b8c3b,3115958
225def29ecfe0fc1,4422343
2284092f8b63273b,3096573
22a92d7f62195791,2560085
22d1e00e1aabb7c9,2354536
22edaf53ad59a967,2504245
23024fdfc966410a,3090197
236a37d96d476164,2497723
23a16ebe733e3041,2335802
24174a3f44ce8e03,4229232
242d36d241b43c12,4032401
24656ef4d605c96f,4079149
24b033b3daf1c9df,2335634
2526be54e6a0e62a,4713086
253076a23d03dcd0,3020408
253de74457bd6374,2354103
25433871e4eee0f4,2354194
2549d63da9c456cb,2354540
2558ae2e5671e318,4612580
260bd4cef10b033f,4873642
260e9e0d4954aea6,4426250
2620f3eb21c79614,2558110
262a7d06203657e6,4018757
263ebd4a669e1e98,2501618
2650e2f846a30f64,2335779
265589bdd93e7ce5,2431312
26b63bc5c0c1f65d,3034798
26e3f3928b1891d9,4289255
26eddcda9d6b2ffe,2354137
270b89c00ef0c55c,2354239
2747c60e42d9d75f,3957136
275aca31f61ba28c,3332412
279566840aa55bf2,2993650
27d65e9d0fba61ea,2609505
2804ce8dadab5770,4030644
2816ced060a21be3,3041905
282fa667ff9c51ed,2335690
285ae0b4a68221f4,4275043
288aaa8f82040e02,2500678
28ba5f27e473420c,2527802
28c55b4087a6f136,2965188
28f3c2258a1d8874,2335810
2937cb502dda0808,2965159
294aa73dbf37d281,3895544
2961be02cfb0d2c1,2500149
297a2b35444c245b,4668069
29af297d9f1de0f8,3099187
29f935654825331b,2488455
2a4200ead401a9ce,4204437
2a542ee8a8b83559,2354048
2adb11835acd815b,2509287
2b06b6ad5db63348,2354360
2b074403b7c6cdb4,3071362
2b4faacc16d66898,2488370
2b6fc1c02736833d,4569549
2b93ebd9f5417ad2,2335602
2be6596a9db33bf5,2335771
2c010b26a3306969,4687126
2c1170b825f58e57,2996677
2c483cf443f38ece,4683395
2c99576fefe53c7c,2504550
2c9d00968f818270,3165010
2cd428e9606856fd,4410084
2db7fa8db6bc9632,2335692
2dc1bc1a02961656,4066141
2e19380f34871c6a,4233039
2e585c701f72fe55,4202873
2e5c2aa8e4ab9d82,4080826
2ee09ec2a0695eb9,2354532
2eeaefbfc7f9fcff,3157441
2f13e4020cea5b38,2354364
2f1700b3a4a09bc7,2354278
2f181c0467965b98,4025699
2f1a257d6777096d,4391266
2f3f12002564bb55,2335765
2f5cbecbbe18bac4,2558062
2f6a993c7f547c13,3960665
2fc7e9701642ca38,3944372
2fee10d5cf86bfca,3170348
303a05a7aa3ff761,3016425
305d73ede05e31ad,4570669
31123249b0bbf52e,2335666
312f47c3d2f83ffa,2951204
31652c9267606d54,2558139
318572f6f74b760d,3099958
318e629d1eb7aa49,2504974
31ceaf0e670c1578,2488880
31d7446b184e3305,3887344
31ee470ef5dc8d7f,2335660
31ef8b67e13495b3,3032972
31f8081c7600da93,4408436
322a56923b396b4d,2502589
3236bf606fe9fa5b,2504648
32490e80ddab1e5a,4284870
325ad0dd9126d3df,3250441
326a001926ffb7ec,4873639
326f94d6cfb1bf25,4573211
327d5f279895110d,4411508
329e403448756217,3950354
32ba186f4b0e3267,2500138
32c355b04fc57f3a,4056004
333b9e5c723ac873,4079314
3351aa64aa83c4d9,4565671
33e33d51f289d2a1,2473329
33efaf2d0941cfcf,4010740
3410cf010558dc8b,2431344
34218661c44ed55d,4406521
349aaa3da11eb587,2335701
34c2b3656f88f7ef,3098802
34e516ab361afb1c,3121961
34f88592c0ab7a54,3096578
34ff304266360297,4608674
351c4ec637380ad5,4292349
353de740bb6c7e75,2502277
35b3772629e27a49,2517087
35dc6220b113b7ec,2354522
35e1f9984ed64206,4416348
361d49960a196976,2514828
36207c58e854cae5,3106171
3623bd267a2eef2e,3017276
36541f1e6c5d4955,4379362
369ea36e450ae62a,4894791
37098a6e6c27fb66,4349153
3738e68d2261e60f,2354269
3795fca327cbcf23,2335645
37b1696e6d115957,2335686
37cc294027f55e4d,3938715
37d5b176d438d2a5,4236954
37d752ec41ed84bb,4348793
37ed1ab2f8b819f4,4575873
37f560436d745c18,3897242
388abbf8832b5adf,2431254
38c626ca912c7bac,3077807
38c7f72747f4f712,4089026
39330403ad27c2bb,3074969
394f55ebca199124,2335786
3956bdc8ab2e54b3,4355238
396fe87b84ac2e1c,4576101
3974fa35c917af1d,2504178
399afbabc02376b5,4010976
39d91e95949de3d9,3923488
3a24769a4855040a,2504555
3a314d9fa7c6825d,3090893
3a46b268013afede,3943695
3a8176e15b9887c1,2553993
3ae10ac4df3df05c,2504616
3b9f723e2720a238,2504955
3ba3b5cc94498437,2519775
3bad7ef643840f67,2335676
3c48019bc387b80c,2500148
3c660c90d48fc80d,2492785
3c6976f8182d9527,2500771
3cf66c62d9069f43,4040197
3d074044a33825e7,4297311
3d5b1ce6097dbb49,3892370
3d6749c4267da18f,3106617
3df5493bb279226f,4233196
3e708ce33b6b18e6,4252258
3ec1e4ba98c9c85a,2514776
3f52ce18fb98008f,2615078
3fed746acfd026dd,2558003
40093d1d2d78394e,3153125
40ff198adda94b9f,3091102
4100c7a09497ad41,4289517
411d012af19ecb59,2614777
4123fd4dcc1fe937,2497962
4126a78111c0855a,4835137
4130a743d9d22163,2335486
4144798612ef96e5,4354318
4148802ae4a50768,4863327
41498c2d1a87b154,4688449
41e77dc504a192c6,2558124
41e83a89929d1327,4873640
42078a86d3dd037b,2354319
4234f0097c83fa62,3676024
427b5953ac8e3a27,2335778
43563a32c3f10e95,2335519
43612456979e5d5e,2556804
436f970c9ea9169c,3032218
441eacbe20e0e80b,3900464
44260175069b6276,2335885
442c9011034ae1fd,4738092
