EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC 313: Pereira vs. Ankalaev,Brunno Ferreira vs. Armen Petrosyan,Round 2,Armen Petrosyan,0.0,24 of 44,54%,24 of 44,0 of 0,---,0.0,0.0,0:00,13 of 32,3 of 3,8 of 9,24 of 44,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Alex Morono vs. Carlos Leal,Round 1,Alex Morono,0.0,40 of 95,42%,41 of 96,0 of 1,0%,0.0,0.0,0:20,32 of 82,4 of 9,4 of 4,35 of 87,5 of 8,0 of 0
UFC 313: Pereira vs. Ankalaev,Alex Morono vs. Carlos Leal,Round 1,Carlos Leal,0.0,79 of 120,65%,81 of 123,0 of 0,---,0.0,0.0,0:03,49 of 89,28 of 29,2 of 2,54 of 91,25 of 29,0 of 0
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 1,Mairon Santos,0.0,18 of 42,42%,18 of 42,0 of 1,0%,0.0,0.0,0:02,5 of 21,4 of 10,9 of 11,17 of 41,1 of 1,0 of 0
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 2,Mairon Santos,0.0,19 of 36,52%,19 of 36,0 of 0,---,0.0,0.0,0:00,10 of 23,4 of 7,5 of 6,19 of 36,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 3,Mairon Santos,0.0,21 of 51,41%,41 of 76,0 of 0,---,0.0,0.0,0:00,14 of 36,6 of 13,1 of 2,21 of 51,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 1,Francis Marshall,0.0,16 of 45,35%,36 of 76,0 of 2,0%,0.0,0.0,0:35,10 of 39,1 of 1,5 of 5,16 of 44,0 of 0,0 of 1
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 2,Francis Marshall,0.0,8 of 40,20%,8 of 40,2 of 2,100%,0.0,0.0,1:22,8 of 40,0 of 0,0 of 0,8 of 40,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Mairon Santos vs. Francis Marshall,Round 3,Francis Marshall,0.0,15 of 58,25%,20 of 63,1 of 1,100%,0.0,0.0,0:38,14 of 57,0 of 0,1 of 1,15 of 58,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 1,Djorden Santos,0.0,25 of 70,35%,25 of 70,0 of 0,---,0.0,0.0,0:00,17 of 61,3 of 4,5 of 5,25 of 70,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 2,Djorden Santos,0.0,49 of 135,36%,49 of 135,0 of 2,0%,0.0,0.0,0:02,45 of 128,2 of 5,2 of 2,49 of 135,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 3,Djorden Santos,0.0,57 of 140,40%,60 of 143,1 of 1,100%,0.0,0.0,0:24,53 of 134,3 of 5,1 of 1,56 of 137,0 of 1,1 of 2
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 1,Ozzy Diaz,0.0,20 of 36,55%,20 of 36,0 of 0,---,0.0,0.0,0:00,16 of 30,0 of 1,4 of 5,20 of 36,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 2,Ozzy Diaz,0.0,51 of 97,52%,51 of 97,0 of 0,---,0.0,0.0,0:00,46 of 92,2 of 2,3 of 3,51 of 97,0 of 0,0 of 0
UFC 313: Pereira vs. Ankalaev,Djorden Santos vs. Ozzy Diaz,Round 3,Ozzy Diaz,0.0,64 of 128,50%,65 of 129,0 of 0,---,0.0,0.0,0:00,57 of 118,7 of 10,0 of 0,59 of 122,5 of 6,0 of 0
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 1,Manel Kape,0.0,19 of 40,47%,20 of 43,0 of 0,---,0.0,0.0,0:00,15 of 33,3 of 6,1 of 1,19 of 40,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 2,Manel Kape,0.0,14 of 27,51%,14 of 28,0 of 1,0%,0.0,0.0,0:00,10 of 23,2 of 2,2 of 2,14 of 27,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 3,Manel Kape,0.0,28 of 48,58%,28 of 48,0 of 0,---,0.0,0.0,0:29,22 of 39,6 of 9,0 of 0,13 of 27,9 of 15,6 of 6
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 1,Asu Almabayev,0.0,14 of 28,50%,14 of 28,0 of 1,0%,0.0,0.0,0:00,7 of 20,6 of 7,1 of 1,14 of 27,0 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 2,Asu Almabayev,0.0,18 of 40,45%,18 of 40,0 of 1,0%,0.0,0.0,0:00,7 of 27,6 of 8,5 of 5,17 of 39,1 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Manel Kape vs. Asu Almabayev,Round 3,Asu Almabayev,0.0,8 of 12,66%,8 of 13,0 of 4,0%,0.0,0.0,0:00,5 of 8,1 of 2,2 of 2,7 of 11,1 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Cody Brundage vs. Julian Marquez,Round 1,Cody Brundage,1.0,44 of 79,55%,68 of 106,0 of 1,0%,0.0,0.0,0:48,39 of 71,1 of 2,4 of 6,34 of 65,5 of 8,5 of 6
UFC Fight Night: Kape vs. Almabayev,Cody Brundage vs. Julian Marquez,Round 1,Julian Marquez,0.0,37 of 73,50%,53 of 96,0 of 0,---,1.0,0.0,0:30,31 of 64,5 of 8,1 of 1,24 of 51,13 of 22,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 1,Nasrat Haqparast,0.0,33 of 64,51%,33 of 64,0 of 0,---,0.0,0.0,0:00,21 of 50,11 of 13,1 of 1,33 of 64,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 2,Nasrat Haqparast,0.0,49 of 104,47%,49 of 104,0 of 0,---,0.0,0.0,0:00,39 of 91,8 of 11,2 of 2,49 of 104,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 3,Nasrat Haqparast,0.0,53 of 105,50%,53 of 105,1 of 5,20%,0.0,0.0,0:49,43 of 92,7 of 10,3 of 3,52 of 104,1 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 1,Esteban Ribovics,0.0,36 of 107,33%,36 of 107,0 of 0,---,0.0,0.0,0:00,28 of 94,3 of 7,5 of 6,36 of 107,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 2,Esteban Ribovics,0.0,62 of 183,33%,62 of 183,0 of 0,---,0.0,0.0,0:00,53 of 170,6 of 10,3 of 3,62 of 183,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Nasrat Haqparast vs. Esteban Ribovics,Round 3,Esteban Ribovics,0.0,49 of 143,34%,51 of 146,0 of 0,---,0.0,0.0,0:00,39 of 131,8 of 10,2 of 2,49 of 143,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 1,Hyder Amil,0.0,18 of 38,47%,31 of 56,0 of 2,0%,0.0,0.0,0:46,8 of 25,7 of 9,3 of 4,15 of 34,3 of 4,0 of 0
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 2,Hyder Amil,0.0,45 of 78,57%,55 of 89,0 of 2,0%,0.0,0.0,0:45,27 of 58,11 of 13,7 of 7,38 of 68,7 of 10,0 of 0
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 3,Hyder Amil,0.0,52 of 86,60%,78 of 117,1 of 2,50%,0.0,0.0,1:12,25 of 57,19 of 20,8 of 9,45 of 78,5 of 6,2 of 2
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 1,William Gomis,0.0,19 of 46,41%,33 of 62,0 of 2,0%,0.0,0.0,1:15,8 of 28,8 of 15,3 of 3,13 of 34,6 of 12,0 of 0
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 2,William Gomis,0.0,48 of 70,68%,49 of 71,0 of 0,---,0.0,0.0,0:07,33 of 55,8 of 8,7 of 7,44 of 66,4 of 4,0 of 0
UFC Fight Night: Kape vs. Almabayev,Hyder Amil vs. William Gomis,Round 3,William Gomis,0.0,34 of 71,47%,34 of 72,0 of 1,0%,0.0,0.0,0:00,19 of 51,11 of 16,4 of 4,33 of 69,1 of 2,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Barlow vs. Sam Patterson,Round 1,Danny Barlow,0.0,15 of 30,50%,15 of 30,0 of 0,---,0.0,0.0,0:00,10 of 23,2 of 3,3 of 4,15 of 30,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Barlow vs. Sam Patterson,Round 1,Sam Patterson,1.0,18 of 34,52%,18 of 34,0 of 0,---,0.0,0.0,0:03,14 of 28,4 of 6,0 of 0,15 of 29,0 of 0,3 of 5
UFC Fight Night: Kape vs. Almabayev,Austen Lane vs. Mario Pinto,Round 1,Austen Lane,1.0,20 of 38,52%,23 of 46,0 of 1,0%,0.0,0.0,0:53,11 of 23,7 of 11,2 of 4,20 of 35,0 of 3,0 of 0
UFC Fight Night: Kape vs. Almabayev,Austen Lane vs. Mario Pinto,Round 2,Austen Lane,0.0,12 of 25,48%,13 of 29,0 of 0,---,0.0,0.0,0:00,6 of 19,6 of 6,0 of 0,11 of 23,1 of 2,0 of 0
UFC Fight Night: Kape vs. Almabayev,Austen Lane vs. Mario Pinto,Round 1,Mario Pinto,0.0,7 of 11,63%,10 of 14,0 of 1,0%,0.0,0.0,0:17,2 of 6,2 of 2,3 of 3,6 of 9,1 of 2,0 of 0
UFC Fight Night: Kape vs. Almabayev,Austen Lane vs. Mario Pinto,Round 2,Mario Pinto,1.0,6 of 12,50%,6 of 12,0 of 0,---,0.0,0.0,0:01,6 of 12,0 of 0,0 of 0,6 of 11,0 of 0,0 of 1
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 1,Ricardo Ramos,0.0,15 of 28,53%,15 of 28,1 of 2,50%,0.0,0.0,0:28,7 of 19,5 of 5,3 of 4,13 of 26,2 of 2,0 of 0
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 2,Ricardo Ramos,0.0,8 of 24,33%,8 of 24,0 of 0,---,0.0,0.0,0:00,5 of 18,3 of 6,0 of 0,6 of 21,2 of 3,0 of 0
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 3,Ricardo Ramos,0.0,14 of 39,35%,14 of 39,0 of 2,0%,0.0,0.0,0:00,5 of 26,6 of 7,3 of 6,13 of 37,1 of 2,0 of 0
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 1,Chepe Mariscal,0.0,28 of 49,57%,42 of 66,1 of 3,33%,0.0,0.0,0:55,24 of 43,1 of 2,3 of 4,13 of 29,8 of 9,7 of 11
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 2,Chepe Mariscal,0.0,42 of 67,62%,49 of 76,0 of 1,0%,0.0,0.0,0:53,29 of 52,3 of 3,10 of 12,38 of 63,4 of 4,0 of 0
UFC Fight Night: Kape vs. Almabayev,Ricardo Ramos vs. Chepe Mariscal,Round 3,Chepe Mariscal,0.0,15 of 46,32%,34 of 68,1 of 1,100%,0.0,0.0,0:47,6 of 27,5 of 9,4 of 10,13 of 40,2 of 6,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 1,Danny Silva,0.0,24 of 43,55%,27 of 46,0 of 0,---,0.0,0.0,0:24,9 of 27,2 of 3,13 of 13,24 of 42,0 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 2,Danny Silva,0.0,36 of 55,65%,36 of 56,1 of 2,50%,0.0,0.0,0:15,21 of 38,9 of 11,6 of 6,35 of 52,0 of 1,1 of 2
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 3,Danny Silva,0.0,22 of 39,56%,22 of 39,0 of 1,0%,0.0,0.0,0:10,15 of 31,3 of 4,4 of 4,22 of 39,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 1,Lucas Almeida,0.0,17 of 52,32%,18 of 53,0 of 1,0%,0.0,0.0,0:10,8 of 37,7 of 11,2 of 4,16 of 51,1 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 2,Lucas Almeida,0.0,29 of 89,32%,32 of 92,0 of 0,---,0.0,0.0,0:00,21 of 78,2 of 5,6 of 6,29 of 89,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Danny Silva vs. Lucas Almeida,Round 3,Lucas Almeida,0.0,28 of 99,28%,28 of 99,0 of 0,---,0.0,0.0,0:07,20 of 88,5 of 7,3 of 4,28 of 99,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 1,Andrea Lee,0.0,18 of 57,31%,18 of 57,0 of 1,0%,0.0,0.0,0:00,1 of 32,8 of 12,9 of 13,18 of 57,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 2,Andrea Lee,0.0,15 of 58,25%,18 of 61,0 of 1,0%,0.0,0.0,0:00,3 of 35,6 of 14,6 of 9,15 of 58,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 3,Andrea Lee,0.0,20 of 60,33%,30 of 74,1 of 2,50%,1.0,0.0,0:46,9 of 42,11 of 18,0 of 0,19 of 59,1 of 1,0 of 0
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 1,JJ Aldrich,0.0,21 of 43,48%,23 of 45,1 of 1,100%,0.0,0.0,0:19,14 of 34,2 of 4,5 of 5,18 of 39,2 of 3,1 of 1
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 2,JJ Aldrich,0.0,25 of 46,54%,25 of 47,0 of 0,---,0.0,0.0,0:23,17 of 37,4 of 5,4 of 4,25 of 46,0 of 0,0 of 0
UFC Fight Night: Kape vs. Almabayev,Andrea Lee vs. JJ Aldrich,Round 3,JJ Aldrich,0.0,28 of 48,58%,29 of 50,1 of 2,50%,0.0,0.0,0:38,23 of 43,4 of 4,1 of 1,25 of 45,3 of 3,0 of 0
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 1,Charles Johnson,0.0,15 of 41,36%,15 of 41,0 of 1,0%,0.0,0.0,0:00,5 of 26,3 of 6,7 of 9,13 of 38,2 of 3,0 of 0
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 2,Charles Johnson,0.0,14 of 37,37%,21 of 46,0 of 1,0%,0.0,0.0,0:50,7 of 22,5 of 10,2 of 5,10 of 32,4 of 5,0 of 0
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 3,Charles Johnson,0.0,37 of 78,47%,51 of 96,0 of 1,0%,0.0,0.0,0:28,16 of 56,15 of 16,6 of 6,23 of 59,14 of 19,0 of 0
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 1,Ramazan Temirov,0.0,21 of 44,47%,21 of 44,0 of 0,---,0.0,0.0,0:03,14 of 33,7 of 11,0 of 0,19 of 39,2 of 4,0 of 1
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 2,Ramazan Temirov,0.0,19 of 46,41%,20 of 48,0 of 1,0%,0.0,0.0,0:03,14 of 41,5 of 5,0 of 0,16 of 39,3 of 6,0 of 1
UFC Fight Night: Kape vs. Almabayev,Charles Johnson vs. Ramazan Temirov,Round 3,Ramazan Temirov,0.0,15 of 49,30%,18 of 54,1 of 1,100%,0.0,0.0,0:17,14 of 43,1 of 6,0 of 0,11 of 40,4 of 9,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 1,Henry Cejudo,0.0,13 of 25,52%,13 of 25,0 of 1,0%,0.0,0.0,0:00,3 of 13,3 of 5,7 of 7,13 of 25,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 2,Henry Cejudo,0.0,29 of 55,52%,29 of 55,0 of 2,0%,0.0,0.0,0:00,18 of 42,3 of 5,8 of 8,29 of 54,0 of 1,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 3,Henry Cejudo,0.0,25 of 53,47%,25 of 53,0 of 0,---,0.0,0.0,0:00,19 of 45,6 of 8,0 of 0,25 of 53,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 1,Song Yadong,0.0,21 of 31,67%,21 of 31,0 of 0,---,0.0,0.0,0:00,6 of 16,5 of 5,10 of 10,19 of 29,2 of 2,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 2,Song Yadong,0.0,33 of 69,47%,33 of 69,0 of 1,0%,0.0,0.0,0:00,17 of 49,5 of 9,11 of 11,33 of 69,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Henry Cejudo vs. Song Yadong,Round 3,Song Yadong,0.0,30 of 78,38%,30 of 78,0 of 0,---,0.0,0.0,0:00,23 of 68,4 of 7,3 of 3,30 of 78,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 1,Brendan Allen,0.0,8 of 13,61%,30 of 38,0 of 0,---,0.0,1.0,2:09,4 of 9,2 of 2,2 of 2,6 of 11,0 of 0,2 of 2
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 2,Brendan Allen,0.0,1 of 1,100%,6 of 8,0 of 0,---,1.0,1.0,0:44,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 3,Brendan Allen,0.0,5 of 12,41%,17 of 25,0 of 1,0%,0.0,1.0,0:05,4 of 10,1 of 1,0 of 1,3 of 10,2 of 2,0 of 0
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 1,Anthony Hernandez,0.0,3 of 5,60%,10 of 13,1 of 2,50%,0.0,0.0,2:23,3 of 5,0 of 0,0 of 0,0 of 2,0 of 0,3 of 3
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 2,Anthony Hernandez,0.0,13 of 16,81%,25 of 29,1 of 1,100%,0.0,1.0,4:04,13 of 16,0 of 0,0 of 0,1 of 1,0 of 0,12 of 15
UFC Fight Night: Cejudo vs. Song,Brendan Allen vs. Anthony Hernandez,Round 3,Anthony Hernandez,0.0,14 of 21,66%,37 of 49,2 of 5,40%,0.0,1.0,3:55,14 of 21,0 of 0,0 of 0,11 of 14,0 of 1,3 of 6
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 1,Rob Font,0.0,21 of 34,61%,27 of 41,0 of 0,---,0.0,0.0,0:26,20 of 33,1 of 1,0 of 0,19 of 32,2 of 2,0 of 0
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 2,Rob Font,0.0,34 of 56,60%,36 of 58,0 of 0,---,1.0,0.0,0:00,28 of 50,6 of 6,0 of 0,34 of 56,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 3,Rob Font,0.0,40 of 81,49%,50 of 92,0 of 0,---,0.0,0.0,0:52,34 of 74,6 of 7,0 of 0,32 of 69,8 of 12,0 of 0
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 1,Jean Matsumoto,0.0,7 of 19,36%,32 of 49,2 of 3,66%,0.0,0.0,3:40,1 of 12,3 of 3,3 of 4,3 of 15,4 of 4,0 of 0
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 2,Jean Matsumoto,0.0,29 of 61,47%,35 of 69,5 of 5,100%,0.0,0.0,2:05,16 of 43,3 of 4,10 of 14,29 of 61,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Rob Font vs. Jean Matsumoto,Round 3,Jean Matsumoto,0.0,41 of 101,40%,46 of 107,0 of 2,0%,0.0,0.0,0:30,26 of 80,3 of 6,12 of 15,37 of 93,4 of 8,0 of 0
UFC Fight Night: Cejudo vs. Song,Jean Silva vs. Melsik Baghdasaryan,Round 1,Jean Silva,1.0,18 of 27,66%,18 of 27,0 of 0,---,0.0,0.0,0:06,11 of 19,7 of 8,0 of 0,11 of 20,0 of 0,7 of 7
UFC Fight Night: Cejudo vs. Song,Jean Silva vs. Melsik Baghdasaryan,Round 1,Melsik Baghdasaryan,0.0,7 of 25,28%,7 of 25,0 of 0,---,0.0,0.0,0:00,5 of 20,0 of 3,2 of 2,7 of 25,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 1,Alonzo Menifield,0.0,23 of 33,69%,38 of 51,0 of 1,0%,0.0,0.0,0:32,21 of 31,2 of 2,0 of 0,18 of 26,5 of 7,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 2,Alonzo Menifield,0.0,31 of 56,55%,33 of 58,0 of 0,---,0.0,0.0,0:05,20 of 43,9 of 10,2 of 3,29 of 51,2 of 5,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 3,Alonzo Menifield,0.0,33 of 58,56%,42 of 70,0 of 0,---,0.0,0.0,0:06,23 of 46,8 of 10,2 of 2,31 of 55,2 of 3,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 1,Julius Walker,0.0,27 of 47,57%,41 of 62,0 of 4,0%,0.0,0.0,2:52,8 of 27,18 of 19,1 of 1,6 of 20,21 of 27,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 2,Julius Walker,0.0,36 of 73,49%,39 of 76,1 of 4,25%,0.0,0.0,1:15,20 of 51,9 of 15,7 of 7,27 of 59,9 of 14,0 of 0
UFC Fight Night: Cejudo vs. Song,Alonzo Menifield vs. Julius Walker,Round 3,Julius Walker,0.0,23 of 51,45%,34 of 62,0 of 1,0%,0.0,0.0,1:24,9 of 34,6 of 9,8 of 8,18 of 45,5 of 6,0 of 0
UFC Fight Night: Cejudo vs. Song,Ion Cutelaba vs. Ibo Aslan,Round 1,Ion Cutelaba,0.0,14 of 31,45%,17 of 39,2 of 4,50%,1.0,0.0,1:06,10 of 26,2 of 3,2 of 2,10 of 26,1 of 2,3 of 3
UFC Fight Night: Cejudo vs. Song,Ion Cutelaba vs. Ibo Aslan,Round 1,Ibo Aslan,0.0,15 of 30,50%,15 of 30,0 of 0,---,0.0,0.0,0:00,14 of 28,0 of 1,1 of 1,12 of 27,3 of 3,0 of 0
UFC Fight Night: Cejudo vs. Song,Andre Fili vs. Melquizael Costa,Round 1,Andre Fili,0.0,7 of 24,29%,7 of 24,1 of 1,100%,0.0,0.0,0:24,4 of 20,3 of 4,0 of 0,7 of 24,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Andre Fili vs. Melquizael Costa,Round 1,Melquizael Costa,0.0,27 of 56,48%,27 of 56,0 of 1,0%,1.0,0.0,0:00,3 of 25,10 of 13,14 of 18,26 of 55,1 of 1,0 of 0
UFC Fight Night: Cejudo vs. Song,Mansur Abdul-Malik vs. Nick Klein,Round 1,Mansur Abdul-Malik,0.0,1 of 8,12%,1 of 8,0 of 1,0%,0.0,0.0,0:08,0 of 7,1 of 1,0 of 0,1 of 8,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Mansur Abdul-Malik vs. Nick Klein,Round 2,Mansur Abdul-Malik,0.0,28 of 46,60%,31 of 50,1 of 2,50%,0.0,0.0,0:27,28 of 46,0 of 0,0 of 0,5 of 12,12 of 19,11 of 15
UFC Fight Night: Cejudo vs. Song,Mansur Abdul-Malik vs. Nick Klein,Round 1,Nick Klein,0.0,16 of 26,61%,37 of 49,1 of 6,16%,0.0,0.0,1:55,3 of 11,0 of 2,13 of 13,14 of 23,2 of 3,0 of 0
UFC Fight Night: Cejudo vs. Song,Mansur Abdul-Malik vs. Nick Klein,Round 2,Nick Klein,0.0,12 of 20,60%,13 of 21,0 of 3,0%,0.0,0.0,1:06,2 of 7,2 of 3,8 of 10,12 of 20,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Ricky Simon vs. Javid Basharat,Round 1,Ricky Simon,1.0,11 of 21,52%,18 of 29,1 of 3,33%,0.0,0.0,1:16,9 of 19,1 of 1,1 of 1,9 of 18,1 of 2,1 of 1
UFC Fight Night: Cejudo vs. Song,Ricky Simon vs. Javid Basharat,Round 1,Javid Basharat,0.0,20 of 36,55%,21 of 38,0 of 0,---,0.0,0.0,0:01,12 of 27,7 of 7,1 of 2,20 of 36,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Nikolay Veretennikov vs. Austin Vanderford,Round 1,Nikolay Veretennikov,0.0,3 of 13,23%,12 of 23,0 of 0,---,0.0,0.0,0:00,0 of 8,2 of 4,1 of 1,3 of 13,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Nikolay Veretennikov vs. Austin Vanderford,Round 2,Nikolay Veretennikov,0.0,2 of 6,33%,9 of 13,0 of 0,---,0.0,0.0,0:00,0 of 4,1 of 1,1 of 1,2 of 6,0 of 0,0 of 0
UFC Fight Night: Cejudo vs. Song,Nikolay Veretennikov vs. Austin Vanderford,Round 1,Austin Vanderford,0.0,8 of 11,72%,56 of 62,1 of 1,100%,1.0,0.0,3:56,7 of 10,0 of 0,1 of 1,2 of 5,0 of 0,6 of 6
UFC Fight Night: Cejudo vs. Song,Nikolay Veretennikov vs. Austin Vanderford,Round 2,Austin Vanderford,0.0,31 of 41,75%,46 of 59,1 of 3,33%,0.0,0.0,3:25,30 of 40,1 of 1,0 of 0,1 of 3,0 of 0,30 of 38
UFC Fight Night: Cejudo vs. Song,Nursulton Ruziboev vs. Eric McConico,Round 1,Nursulton Ruziboev,0.0,13 of 24,54%,14 of 25,0 of 0,---,0.0,0.0,0:30,8 of 17,4 of 6,1 of 1,12 of 23,1 of 1,0 of 0
UFC Fight Night: Cejudo vs. Song,Nursulton Ruziboev vs. Eric McConico,Round 2,Nursulton Ruziboev,2.0,7 of 18,38%,10 of 21,0 of 0,---,0.0,0.0,0:06,7 of 18,0 of 0,0 of 0,1 of 7,5 of 10,1 of 1
